score,perplexity,parse_ok,repetition,ascii_ratio,code_complexity,tokens,len,lang,path,chunk_id,n_chunks,repo,near_dup
40.47,,0.0,0.5421,1.0,0.3248,398,1239,Xml,12_13_14_registry_event/exclude_windows_file_exts.xml,1,1,olafhartong/sysmon-modular,False
46.17,,0.0,0.2257,1.0,0.3397,311,964,Xml,12_13_14_registry_event/exclude_windows_generic_binaries.xml,1,1,olafhartong/sysmon-modular,False
42.81,,0.0,0.5606,1.0,0.1692,847,2647,Xml,12_13_14_registry_event/exclude_windows_misc.xml,1,2,olafhartong/sysmon-modular,False
13.63,,0.0,0.3947,1.0,0.2238,719,2238,Xml,12_13_14_registry_event/exclude_windows_misc.xml,2,2,olafhartong/sysmon-modular,True
40.07,,0.0,0.5936,1.0,0.3012,492,1522,Xml,12_13_14_registry_event/exclude_windows_service_autostart.xml,1,1,olafhartong/sysmon-modular,False
44.54,,0.0,0.2964,1.0,0.4452,200,620,Xml,12_13_14_registry_event/include_appc_shim.xml,1,1,olafhartong/sysmon-modular,False
43.64,,0.0,0.3636,1.0,0.4094,282,874,Xml,12_13_14_registry_event/include_authentication_package.xml,1,1,olafhartong/sysmon-modular,False
46.73,,0.0,0.3636,1.0,0.1859,832,2571,Xml,12_13_14_registry_event/include_autoruns_and_startup_keys.xml,1,3,olafhartong/sysmon-modular,False
12.15,,0.0,0.6304,1.0,0.0446,839,2600,Xml,12_13_14_registry_event/include_autoruns_and_startup_keys.xml,2,3,olafhartong/sysmon-modular,True
12.26,,0.0,0.5482,1.0,0.2094,551,1707,Xml,12_13_14_registry_event/include_autoruns_and_startup_keys.xml,3,3,olafhartong/sysmon-modular,True
43.7,,0.0,0.3398,1.0,0.4052,236,734,Xml,12_13_14_registry_event/include_bypass_uac.xml,1,1,olafhartong/sysmon-modular,False
44.82,,0.0,0.3209,1.0,0.4229,310,954,Xml,12_13_14_registry_event/include_com_hijack.xml,1,1,olafhartong/sysmon-modular,False
49.01,,0.0,0.0599,1.0,0.4944,129,400,Xml,12_13_14_registry_event/include_credential_dumping_via_vss.xml,1,1,olafhartong/sysmon-modular,False
50.04,,0.0,0.0028,1.0,0.4899,120,374,Xml,12_13_14_registry_event/include_disable_password_change.xml,1,1,olafhartong/sysmon-modular,False
46.28,,0.0,0.2227,1.0,0.4533,226,694,Xml,12_13_14_registry_event/include_dll_injection_at_process_launch.xml,1,1,olafhartong/sysmon-modular,False
50.14,,0.0,0.0027,1.0,0.4974,125,387,Xml,12_13_14_registry_event/include_dns_serverdll_injection.xml,1,1,olafhartong/sysmon-modular,False
50.37,,0.0,0.0022,1.0,0.4942,154,472,Xml,12_13_14_registry_event/include_dotnet_ETW_tampering.xml,1,1,olafhartong/sysmon-modular,False
42.8,,0.0,0.4069,1.0,0.3053,368,1139,Xml,12_13_14_registry_event/include_environment_mod.xml,1,1,olafhartong/sysmon-modular,False
44.81,,0.0,0.279,1.0,0.4528,184,568,Xml,12_13_14_registry_event/include_eventlog.xml,1,1,olafhartong/sysmon-modular,False
50.26,,0.0,0.0067,1.0,0.4973,149,465,Xml,12_13_14_registry_event/include_group_policy_integrity.xml,1,1,olafhartong/sysmon-modular,False
44.0,,0.0,0.3298,1.0,0.4412,219,680,Xml,12_13_14_registry_event/include_image_file_exec_options.xml,1,1,olafhartong/sysmon-modular,False
41.5,,0.0,0.5242,1.0,0.2744,519,1609,Xml,12_13_14_registry_event/include_internet_explorer_extentions_helpers_or_toolbars.xml,1,1,olafhartong/sysmon-modular,False
50.12,,0.0,0.0027,1.0,0.4965,124,384,Xml,12_13_14_registry_event/include_local_port_monitor.xml,1,1,olafhartong/sysmon-modular,False
14.51,,0.0,0.087,1.0,0.4767,132,407,Xml,12_13_14_registry_event/include_mounted_devices.xml,1,1,olafhartong/sysmon-modular,True
50.07,,0.0,0.0029,1.0,0.5005,115,357,Xml,12_13_14_registry_event/include_netsh.xml,1,1,olafhartong/sysmon-modular,False
41.34,,0.0,0.631,1.0,0.1558,850,2574,Xml,12_13_14_registry_event/include_office.xml,1,3,olafhartong/sysmon-modular,False
12.61,,0.0,0.5464,1.0,0.0519,814,2503,Xml,12_13_14_registry_event/include_office.xml,2,3,olafhartong/sysmon-modular,True
13.83,,0.0,0.1721,1.0,0.3485,166,510,Xml,12_13_14_registry_event/include_office.xml,3,3,olafhartong/sysmon-modular,True
46.01,,0.0,0.2126,1.0,0.3991,212,651,Xml,12_13_14_registry_event/include_office_dde.xml,1,1,olafhartong/sysmon-modular,False
45.61,,0.0,0.239,1.0,0.3741,248,769,Xml,12_13_14_registry_event/include_office_security_features.xml,1,1,olafhartong/sysmon-modular,False
44.67,,0.0,0.2895,1.0,0.4454,199,617,Xml,12_13_14_registry_event/include_rdp_logon_execution.xml,1,1,olafhartong/sysmon-modular,False
45.49,,0.0,0.298,1.0,0.3269,412,1271,Xml,12_13_14_registry_event/include_rdp_terminal_service_sensitive_settings.xml,1,1,olafhartong/sysmon-modular,False
42.79,,0.0,0.397,1.0,0.4089,260,807,Xml,12_13_14_registry_event/include_scheduled_tasks_path.xml,1,1,olafhartong/sysmon-modular,False
50.2,,0.0,0.0024,1.0,0.4915,137,425,Xml,12_13_14_registry_event/include_security_support_provider.xml,1,1,olafhartong/sysmon-modular,False
49.91,,0.0,0.0024,1.0,0.4447,139,436,Xml,12_13_14_registry_event/include_services.xml,1,1,olafhartong/sysmon-modular,False
39.38,,0.0,0.6064,1.0,0.3495,401,1243,Xml,12_13_14_registry_event/include_sip_trust_provider_hijacking.xml,1,1,olafhartong/sysmon-modular,False
41.44,,0.0,0.5519,1.0,0.2368,608,1904,Xml,12_13_14_registry_event/include_sysinternals.xml,1,1,olafhartong/sysmon-modular,False
44.14,,0.0,0.3222,1.0,0.4529,208,643,Xml,12_13_14_registry_event/include_sysmon.xml,1,1,olafhartong/sysmon-modular,False
50.38,,0.0,0.0022,1.0,0.5021,149,461,Xml,12_13_14_registry_event/include_terminal_service_execution.xml,1,1,olafhartong/sysmon-modular,False
50.13,,0.0,0.0027,1.0,0.4956,126,391,Xml,12_13_14_registry_event/include_w32time_provider.xml,1,1,olafhartong/sysmon-modular,False
50.01,,0.0,0.003,1.0,0.4926,114,353,Xml,12_13_14_registry_event/include_windows_address_book.xml,1,1,olafhartong/sysmon-modular,False
14.95,,0.0,0.0486,1.0,0.4707,220,674,Xml,12_13_14_registry_event/include_windows_app_path_hijack.xml,1,1,olafhartong/sysmon-modular,True
45.41,,0.0,0.2586,1.0,0.4546,206,623,Xml,12_13_14_registry_event/include_windows_com_objects.xml,1,1,olafhartong/sysmon-modular,False
42.67,,0.0,0.6229,1.0,0.3104,867,2713,Xml,12_13_14_registry_event/include_windows_consent.xml,1,2,olafhartong/sysmon-modular,False
13.58,,0.0,0.2474,1.0,0.3868,218,679,Xml,12_13_14_registry_event/include_windows_consent.xml,2,2,olafhartong/sysmon-modular,True
46.3,,0.0,0.2668,1.0,0.3725,398,1234,Xml,12_13_14_registry_event/include_windows_credential_providers.xml,1,1,olafhartong/sysmon-modular,False
41.14,,0.0,0.653,1.0,0.1948,848,2633,Xml,12_13_14_registry_event/include_windows_defender_tampering.xml,1,2,olafhartong/sysmon-modular,False
44.2,,0.0,0.2715,1.0,0.3802,152,469,Xml,12_13_14_registry_event/include_windows_defender_tampering.xml,2,2,olafhartong/sysmon-modular,False
41.17,,0.0,0.7041,1.0,0.4113,801,2466,Xml,12_13_14_registry_event/include_windows_disabling_security_services.xml,1,2,olafhartong/sysmon-modular,False
43.9,,0.0,0.325,1.0,0.4343,200,616,Xml,12_13_14_registry_event/include_windows_disabling_security_services.xml,2,2,olafhartong/sysmon-modular,False
